,START_TIME,F1,F5,F6,F9,F10,F13,F14,F15,F16,F17,F18,F21,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F35,F36,F37,F38,F2/F8,F2/F11,F4/F3,F7/F12,F7/F22,F7/F33,F7/F34,F8/F11,F12/F22,F12/F33,F12/F34,F20/F19,F22/F33,F22/F34,F33/F34
0,2021-07-01 00:00:00,0.0,0.0,0.0,504.0,530.9996312,0.0,0.0,235.367,7.284,1.636,0.308,0.0,3.688888889,48.02925,11.782445,0.05,0.05,0.033541509,-119.4693693,-119.3793722,2.926102774,14.64224574,5.202375,12.42550852,0.965593244,8.0,0.9951923060974482,0.9951923060974482,0.0,0.999999998019802,1.020202018141006,0.999999998019802,0.999999998019802,0.9999999983974359,1.020202018141006,0.999999998019802,0.999999998019802,0.0,0.980198017860994,0.980198017860994,0.999999998019802
1,2021-07-01 01:00:00,0.0,0.0,1.0,494.0,648.9990986,1.0,1.0,1660.192,28.495,12.397,8.891,0.0,3.359722222,237.531125,12.23524297,0.05,0.05,0.033285267,-119.483035,-119.473753,2.933393012,11.24833471,5.331125,39.31576769,0.87636132,8.0,1.01821191884402,1.01821191884402,0.0,0.9999999979633402,1.0061475389218288,0.9999999979633402,0.9999999979633402,0.9999999983443709,1.0061475389218288,0.9999999979633402,0.9999999979633402,0.0,0.9938900183423829,0.9938900183423829,0.9999999979633402
2,2021-07-01 02:00:00,0.0,0.0,0.0,460.0,488.9992076,1.0,1.0,1307.19,24.175,9.131,6.286,0.0,4.086111111,188.138625,12.00654452,0.05,0.05,0.033097249,-119.4947718,-119.4523378,2.910194175,11.14551318,6.55,25.69936482,0.687655018,8.0,1.0092936784213873,1.0092936784213873,0.0,0.9999999978165939,1.0177777755160493,0.9999999978165939,0.9999999978165939,0.999999998141264,1.0177777755160493,0.9999999978165939,0.9999999978165939,0.0,0.982532748946435,0.982532748946435,0.9999999978165939
3,2021-07-01 03:00:00,0.0,0.0,0.0,451.0,479.9996667,1.0,1.0,195.897,4.936,8.031,8.352,0.0,3.188888889,29.732875,12.17974575,0.05,0.05,0.033351574,-119.4946558,-119.4632241,2.90192594,9.676180007,3.02125,13.64362739,0.704746909,7.0,0.999999998141264,0.999999998141264,0.0,0.9999999977827051,1.0180586884468201,0.9999999977827051,0.9999999977827051,0.999999998141264,1.0180586884468201,0.9999999977827051,0.9999999977827051,0.0,0.9822616386202625,0.9822616386202625,0.9999999977827051
4,2021-07-01 04:00:00,0.0,0.0,0.0,415.0,439.9997963,1.0,1.0,147.757,4.091,18.559,2.515,0.0,3.016666667,76.471,12.35898813,0.05,0.05,0.032908162,-119.4904054,-119.4424335,2.936291544,14.48360945,5.93125,17.08085772,1.054374153,7.0,1.006085190657028,1.006085190657028,0.0,0.9999999975786925,1.0197530839018443,0.9999999975786925,0.9999999975786925,0.9999999979716024,1.0197530839018443,0.9999999975786925,0.9999999975786925,0.0,0.9806295375771682,0.9806295375771682,0.9999999975786925
5,2021-07-01 05:00:00,0.0,0.0,1.0,417.0,452.9992659,0.0,0.0,1879.574,38.914,13.897,1.987,0.0,3.611111111,278.797625,12.09915844,0.053333333,0.05,0.03326092,-119.4710223,-119.4491614,2.945406577,15.63594961,12.66775,29.02932372,1.166258128,7.0,1.0085287824978064,1.0085287824978064,0.9999990000010001,0.9999999976019185,1.0220588210243657,0.9999999976019185,0.9999999976019185,0.9999999978678038,1.0220588210243657,0.9999999976019185,0.9999999976019185,0.0,0.978417263840726,0.978417263840726,0.9999999976019185
6,2021-07-01 06:00:00,0.0,0.0,0.0,402.0,436.9991905,2.0,2.0,1320.562,35.068,8.203,20.014,0.0,3.519444444,211.270125,10.76595745,0.056666667,0.05,0.0351251,-119.4734453,-119.3155067,2.903639756,9.651139418,8.117625,23.06285052,0.796577737,8.0,0.993421050453024,0.993421050453024,0.0,0.9999999975062345,1.0308483263988475,0.9999999975062345,0.9999999975062345,0.9999999978070175,1.0308483263988475,0.9999999975062345,0.9999999975062345,0.0,0.9700748105484419,0.9700748105484419,0.9999999975062345
7,2021-07-01 07:00:00,0.0,0.0,0.0,439.0,465.9937416,4.0,4.0,416.307,12.172,10.654,1.875,0.0,3.348611111,72.2315,11.10919462,0.061666667,0.05,0.036543517,-119.4534865,-119.4653356,2.882289242,14.27318098,6.911875,15.59570334,1.348559861,10.0,1.0163636345157026,1.0163636345157026,0.0,0.9999999976958526,0.9999999976958526,0.9999999976958526,0.9999999976958526,0.9999999981818182,0.9999999976958526,0.9999999976958526,0.9999999976958526,0.0,0.9999999976958526,0.9999999976958526,0.9999999976958526
8,2021-07-01 08:00:00,0.0,0.0,6.0,293.0,341.9993666,3.0,2.0,1537.019,24.856,4.5,8.385,0.0,3.240277778,298.698875,11.8310075,0.05,0.05,0.03594505,-119.4535631,-119.4460638,2.882749895,12.82269909,9.318375,32.75925367,1.043739412,7.0,1.0831099166672657,1.0831099166672657,0.9999998333333611,1.0034843170610304,0.9762711831312841,1.0034843170610304,1.0034843170610304,0.9999999973190349,0.9728813526343005,0.9999999965156795,0.9999999965156795,0.0,1.0278745608784858,1.0278745608784858,0.9999999965156795
9,2021-07-01 09:00:00,0.0,0.0,6.0,381.0,413.9992331,4.0,4.0,550.797,11.326,3.506,3.446,0.0,3.022222222,103.223,11.96068702,0.055,0.05,0.035385647,-119.4611521,-119.4277907,2.881567079,13.65852452,7.559375,18.22198685,1.040555422,8.0,1.049896047713314,1.049896047713314,0.99999980000004,0.9999999973474801,1.0053333306524446,0.9999999973474801,0.9999999973474801,0.9999999979209979,1.0053333306524446,0.9999999973474801,0.9999999973474801,0.0,0.9946949575737535,0.9946949575737535,0.9999999973474801
